timestamp,message
2024-11-11T08:52:32.260000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.262000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.262000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.263000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.263000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.264000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.264000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.266000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.266000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.267000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.267000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.268000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.268000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.270000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.270000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.271000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.271000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.272000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.272000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.274000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.274000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.275000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.275000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.277000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.277000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.278000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.278000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.280000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.280000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.281000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.281000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.282000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.282000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.284000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.284000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.285000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.285000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.286000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.286000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.288000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.288000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.289000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.289000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.290000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.291000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.292000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.292000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.293000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.293000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.295000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.295000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.296000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.296000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.297000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.297000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
